,Hour,Total Outflow kcfs,Generation Flow kcfs,Spill kcfs,Forebay Elevation,Tailwater Elevation,Average Head,Nav Lock Tailwater Elevation,Date,0
22013,1,80.3,13.1,65.2,438.0,343.65,94.35,344.22,2024-05-08,
22014,2,78.8,13.1,65.2,438.01,343.26,94.75,343.88,2024-05-08,
22015,3,78.7,13.0,65.2,438.0,343.17,94.83,343.98,2024-05-08,
22016,4,78.7,13.0,65.2,438.01,343.15,94.86,343.89,2024-05-08,
22017,5,78.8,13.1,65.2,438.01,343.19,94.82,343.87,2024-05-08,
22018,6,79.7,13.1,64.6,438.18,342.99,95.19,343.76,2024-05-08,
22019,7,72.3,13.0,58.8,438.17,342.76,95.41,343.46,2024-05-08,
22020,8,72.0,12.8,58.7,437.97,342.75,95.22,343.43,2024-05-08,
22021,9,72.1,13.0,58.6,437.98,342.81,95.17,343.4,2024-05-08,
22022,10,72.1,13.0,58.6,437.89,342.92,94.97,343.45,2024-05-08,
22023,11,73.7,13.0,58.7,437.99,342.79,95.2,343.44,2024-05-08,
22024,12,72.2,12.9,58.8,437.9,342.79,95.11,343.33,2024-05-08,
22025,13,72.5,12.9,59.0,437.85,342.71,95.14,343.49,2024-05-08,
22026,14,72.4,12.9,59.0,437.84,342.72,95.12,343.38,2024-05-08,
22027,15,72.5,13.0,59.0,437.82,342.74,95.08,343.38,2024-05-08,
22028,16,72.5,12.9,59.1,437.9,342.78,95.12,343.38,2024-05-08,
22029,17,72.5,12.9,59.1,437.87,342.76,95.11,343.48,2024-05-08,
22030,18,72.7,13.1,59.1,437.94,342.7,95.24,343.46,2024-05-08,
22031,19,72.6,13.1,59.1,437.91,342.69,95.22,343.47,2024-05-08,
22032,20,72.4,13.0,58.8,437.96,342.68,95.28,343.5,2024-05-08,
22033,21,73.9,13.1,58.9,438.15,342.91,95.24,343.62,2024-05-08,
22034,22,72.6,13.0,59.1,438.07,342.84,95.23,343.59,2024-05-08,
22035,23,74.7,13.1,61.2,438.06,342.86,95.2,343.66,2024-05-08,
22036,24,74.5,13.0,61.0,438.14,342.84,95.3,343.64,2024-05-08,
22037,,,,,,,,,2024-05-08,
22038,AVG,74.38,13.0,60.63,437.98,342.89,95.09,343.59,2024-05-08,
22039,,,,,,,,,2024-05-08,
22040,MAX,80.3,13.1,65.2,438.18,343.65,95.41,344.22,2024-05-08,
22041,MIN,72.0,12.8,58.6,437.82,342.68,94.35,343.33,2024-05-08,
22042,1,74.6,13.0,61.1,438.0,342.88,95.12,343.6,2024-05-09,
22043,2,76.0,13.0,61.0,438.0,343.02,94.98,343.56,2024-05-09,
22044,3,74.6,13.0,61.0,438.05,342.8,95.25,343.57,2024-05-09,
22045,4,74.5,13.0,61.0,438.01,342.87,95.14,343.77,2024-05-09,
22046,5,74.6,13.0,61.0,438.05,342.89,95.16,343.58,2024-05-09,
22047,6,74.6,13.0,61.0,438.06,342.84,95.22,343.56,2024-05-09,
22048,7,71.5,12.9,58.1,438.03,342.7,95.33,343.4,2024-05-09,
22049,8,71.4,12.8,58.0,438.03,342.75,95.28,343.37,2024-05-09,
22050,9,71.5,12.9,58.1,438.09,342.74,95.35,343.42,2024-05-09,
22051,10,72.9,12.9,58.0,438.07,342.73,95.34,343.47,2024-05-09,
22052,11,71.5,13.0,58.1,438.05,342.74,95.31,343.34,2024-05-09,
22053,12,71.4,13.0,58.0,438.01,342.7,95.31,343.47,2024-05-09,
22054,13,71.6,13.1,58.0,438.09,342.68,95.41,343.4,2024-05-09,
22055,14,71.4,13.0,57.9,438.06,342.61,95.45,343.35,2024-05-09,
22056,15,71.4,12.9,57.9,438.09,342.75,95.34,343.43,2024-05-09,
22057,16,71.5,13.0,58.0,438.16,342.72,95.44,343.36,2024-05-09,
22058,17,71.4,12.9,58.0,438.14,342.73,95.41,343.32,2024-05-09,
22059,18,71.6,13.0,58.1,438.2,342.71,95.49,343.42,2024-05-09,
22060,19,71.6,13.0,58.1,438.19,342.78,95.41,343.45,2024-05-09,
22061,20,72.9,13.0,58.0,438.22,342.77,95.45,343.47,2024-05-09,
22062,21,71.3,13.0,57.8,438.28,342.64,95.64,343.39,2024-05-09,
22063,22,74.0,12.9,59.1,438.29,343.27,95.02,343.98,2024-05-09,
22064,23,77.3,13.0,63.8,438.42,343.21,95.21,343.91,2024-05-09,
22065,24,77.3,13.0,63.9,438.27,343.16,95.11,343.78,2024-05-09,
22066,,,,,,,,,2024-05-09,
22067,AVG,73.02,12.97,59.29,438.12,342.82,95.3,343.52,2024-05-09,
22068,,,,,,,,,2024-05-09,
22069,MAX,77.3,13.1,63.9,438.42,343.27,95.64,343.98,2024-05-09,
22070,MIN,71.3,12.8,57.8,438.0,342.61,94.98,343.32,2024-05-09,
22071,1,77.6,13.0,64.1,438.22,343.09,95.13,343.9,2024-05-10,
22072,2,77.5,13.0,64.0,438.17,343.13,95.04,343.91,2024-05-10,
22073,3,77.4,13.0,63.9,438.11,343.09,95.02,343.87,2024-05-10,
22074,4,77.4,13.0,63.9,438.12,343.1,95.02,343.87,2024-05-10,
22075,5,79.0,13.1,63.9,437.95,343.29,94.66,343.86,2024-05-10,
22076,6,77.6,13.1,63.9,437.96,343.2,94.76,343.9,2024-05-10,
22077,7,77.6,13.1,64.0,437.95,343.17,94.78,343.83,2024-05-10,
22078,8,77.6,13.1,64.0,437.91,343.16,94.75,343.8,2024-05-10,
22079,9,77.4,13.1,63.9,437.83,343.11,94.72,343.8,2024-05-10,
22080,10,77.4,13.1,63.8,437.77,343.19,94.58,343.87,2024-05-10,
22081,11,77.3,13.0,63.8,437.73,343.01,94.72,343.69,2024-05-10,
22082,12,69.7,13.1,56.1,437.73,342.58,95.15,343.31,2024-05-10,
22083,13,69.6,13.0,56.1,437.7,342.52,95.18,343.25,2024-05-10,
22084,14,69.6,13.0,56.1,437.76,342.57,95.19,343.21,2024-05-10,
22085,15,69.7,13.0,56.1,437.73,342.48,95.25,343.22,2024-05-10,
22086,16,69.5,13.0,56.0,437.78,342.45,95.33,343.21,2024-05-10,
22087,17,71.0,13.0,56.0,437.83,342.45,95.38,343.23,2024-05-10,
22088,18,69.5,13.0,56.0,437.97,342.45,95.52,343.2,2024-05-10,
22089,19,69.6,13.1,56.1,437.94,342.49,95.45,343.21,2024-05-10,
22090,20,71.1,13.0,56.1,437.92,342.4,95.52,343.17,2024-05-10,
22091,21,69.6,13.0,56.1,437.91,342.45,95.46,343.19,2024-05-10,
22092,22,71.0,13.1,56.0,437.87,342.49,95.38,343.08,2024-05-10,
22093,23,69.4,13.0,55.9,437.83,342.45,95.38,343.14,2024-05-10,
22094,24,69.3,12.9,55.9,437.83,342.41,95.42,343.09,2024-05-10,
22095,,,,,,,,,2024-05-10,
22096,AVG,73.43,13.03,59.65,437.9,342.78,95.12,343.49,2024-05-10,
22097,,,,,,,,,2024-05-10,
22098,MAX,79.0,13.1,64.1,438.22,343.29,95.52,343.91,2024-05-10,
22099,MIN,69.3,12.9,55.9,437.7,342.4,94.58,343.08,2024-05-10,
22100,1,69.4,13.0,55.9,437.83,342.42,95.41,343.08,2024-05-11,
22101,2,69.4,13.0,55.9,437.83,342.42,95.41,343.26,2024-05-11,
22102,3,70.9,13.0,56.0,437.89,342.41,95.48,343.18,2024-05-11,
22103,4,69.4,12.9,56.0,437.87,342.45,95.42,343.13,2024-05-11,
22104,5,69.4,12.9,56.0,437.89,342.52,95.37,343.29,2024-05-11,
22105,6,69.5,13.0,56.0,437.89,342.31,95.58,343.09,2024-05-11,
22106,7,69.4,12.9,56.0,437.94,342.39,95.55,343.08,2024-05-11,
22107,8,69.5,12.9,56.1,437.94,342.35,95.59,343.19,2024-05-11,
22108,9,69.6,13.0,56.1,437.97,342.38,95.59,343.13,2024-05-11,
22109,10,69.5,12.9,56.1,437.91,342.44,95.47,343.02,2024-05-11,
22110,11,69.4,13.0,55.9,437.84,342.46,95.38,343.07,2024-05-11,
22111,12,69.2,12.9,55.8,437.65,342.38,95.27,343.12,2024-05-11,
22112,13,59.6,12.9,46.2,437.78,341.66,96.12,342.29,2024-05-11,
22113,14,58.0,12.9,44.6,437.35,341.62,95.73,342.09,2024-05-11,
22114,15,60.0,12.9,45.0,437.38,341.59,95.79,342.2,2024-05-11,
22115,16,58.8,12.9,45.4,437.78,341.55,96.23,342.21,2024-05-11,
22116,17,69.3,12.9,55.9,437.63,342.34,95.29,342.99,2024-05-11,
22117,18,70.6,13.0,57.0,437.76,342.31,95.45,343.09,2024-05-11,
22118,19,70.7,13.0,57.2,437.7,342.35,95.35,342.94,2024-05-11,
22119,20,70.5,12.9,57.1,437.68,342.31,95.37,343.01,2024-05-11,
22120,21,70.5,12.9,57.1,437.67,342.33,95.34,343.08,2024-05-11,
22121,22,72.0,12.9,57.0,437.63,342.37,95.26,342.96,2024-05-11,
22122,23,70.5,12.9,57.1,437.67,342.35,95.32,342.89,2024-05-11,
22123,24,70.5,12.9,57.1,437.69,342.31,95.38,342.97,2024-05-11,
22124,,,,,,,,,2024-05-11,
22125,AVG,68.15,12.93,54.52,437.76,342.25,95.51,342.93,2024-05-11,
22126,,,,,,,,,2024-05-11,
22127,MAX,72.0,13.0,57.2,437.97,342.52,96.23,343.29,2024-05-11,
22128,MIN,58.0,12.9,44.6,437.35,341.55,95.26,342.09,2024-05-11,
22129,1,70.3,13.0,56.8,437.7,342.24,95.46,342.94,2024-05-12,
22130,2,70.1,12.9,56.7,437.65,342.29,95.36,342.93,2024-05-12,
22131,3,70.4,13.0,56.9,437.65,342.32,95.33,342.96,2024-05-12,
22132,4,70.3,12.9,56.9,437.69,342.27,95.42,342.95,2024-05-12,
22133,5,70.3,12.9,56.9,437.67,342.24,95.43,342.89,2024-05-12,
22134,6,70.2,12.9,56.8,437.67,342.26,95.41,342.96,2024-05-12,
22135,7,71.7,12.9,56.8,437.65,342.33,95.32,343.11,2024-05-12,
22136,8,70.4,13.0,56.9,437.74,342.36,95.38,342.87,2024-05-12,
22137,9,71.9,13.0,56.9,437.75,342.39,95.36,343.03,2024-05-12,
22138,10,70.6,13.0,57.0,437.74,342.27,95.47,342.98,2024-05-12,
22139,11,70.5,13.0,57.0,437.79,342.32,95.47,342.91,2024-05-12,
22140,12,70.6,13.0,57.1,437.85,342.27,95.58,342.95,2024-05-12,
22141,13,70.4,12.9,57.0,437.86,342.3,95.56,342.85,2024-05-12,
22142,14,71.9,13.0,57.0,437.88,342.37,95.51,342.97,2024-05-12,
22143,15,70.5,12.9,57.1,438.05,342.36,95.69,342.98,2024-05-12,
22144,16,83.4,13.0,69.9,438.03,343.47,94.56,344.12,2024-05-12,
22145,17,84.5,13.1,70.9,438.07,343.88,94.19,344.41,2024-05-12,
22146,18,86.3,13.2,71.1,438.07,343.55,94.52,344.31,2024-05-12,
22147,19,85.1,13.5,71.2,438.04,343.48,94.56,344.31,2024-05-12,
22148,20,85.0,13.4,71.1,438.01,343.5,94.51,344.23,2024-05-12,
22149,21,86.4,13.4,71.0,438.03,343.93,94.1,344.38,2024-05-12,
22150,22,84.6,13.1,71.0,437.95,343.51,94.44,344.32,2024-05-12,
22151,23,84.6,13.1,71.0,437.96,343.6,94.36,344.2,2024-05-12,
22152,24,84.6,13.1,71.0,437.99,343.6,94.39,344.23,2024-05-12,
22153,,,,,,,,,2024-05-12,
22154,AVG,76.02,13.05,62.17,437.85,342.8,95.06,343.45,2024-05-12,
22155,,,,,,,,,2024-05-12,
22156,MAX,86.4,13.5,71.2,438.07,343.93,95.69,344.41,2024-05-12,
22157,MIN,70.1,12.9,56.7,437.65,342.24,94.1,342.85,2024-05-12,
22158,1,84.6,13.1,71.0,437.93,343.55,94.38,344.33,2024-05-13,
22159,2,86.0,13.1,70.8,437.85,343.61,94.24,344.41,2024-05-13,
22160,3,84.5,13.1,70.9,437.9,343.58,94.32,344.25,2024-05-13,
22161,4,84.5,13.1,70.9,437.91,343.51,94.4,344.18,2024-05-13,
22162,5,84.6,13.1,70.9,437.94,343.59,94.35,344.24,2024-05-13,
22163,6,85.9,13.1,70.8,437.99,343.54,94.45,344.27,2024-05-13,
22164,7,93.4,13.1,79.8,437.89,344.14,93.75,344.8,2024-05-13,
22165,8,93.8,13.2,80.1,438.08,344.25,93.83,344.9,2024-05-13,
22166,9,93.7,13.2,80.0,437.99,344.25,93.74,344.9,2024-05-13,
22167,10,93.8,13.3,80.0,438.08,344.22,93.86,344.93,2024-05-13,
22168,11,93.7,13.2,80.1,438.18,344.26,93.92,344.93,2024-05-13,
22169,12,93.7,13.2,80.0,438.09,344.26,93.83,344.86,2024-05-13,
22170,13,96.6,13.2,83.0,438.08,344.54,93.54,345.07,2024-05-13,
22171,14,96.8,13.3,83.0,438.06,344.54,93.52,345.17,2024-05-13,
22172,15,96.7,13.4,82.9,437.91,344.55,93.36,345.23,2024-05-13,
22173,16,96.8,13.5,82.8,437.88,344.55,93.33,345.14,2024-05-13,
22174,17,87.2,13.6,73.2,437.89,343.78,94.11,344.5,2024-05-13,
22175,18,87.1,13.6,73.0,437.88,343.74,94.14,344.5,2024-05-13,
22176,19,87.2,13.6,73.0,437.93,343.75,94.18,344.37,2024-05-13,
22177,20,87.0,13.6,72.9,437.79,343.73,94.06,344.48,2024-05-13,
22178,21,87.0,13.7,72.8,437.85,343.72,94.13,344.39,2024-05-13,
22179,22,88.7,13.7,73.0,437.79,343.76,94.03,344.53,2024-05-13,
22180,23,87.0,13.7,72.9,437.71,343.73,93.98,344.5,2024-05-13,
22181,24,86.9,13.6,72.8,437.67,343.83,93.84,344.46,2024-05-13,
22182,,,,,,,,,2024-05-13,
22183,AVG,89.88,13.35,75.86,437.93,343.96,93.97,344.64,2024-05-13,
22184,,,,,,,,,2024-05-13,
22185,MAX,96.8,13.7,83.0,438.18,344.55,94.45,345.23,2024-05-13,
22186,MIN,84.5,13.1,70.8,437.67,343.51,93.33,344.18,2024-05-13,
22187,1,87.0,13.7,72.8,437.61,343.71,93.9,344.4,2024-05-14,
22188,2,87.4,13.7,73.2,437.83,343.87,93.96,344.6,2024-05-14,
22189,3,98.5,13.7,82.8,437.7,344.61,93.09,345.4,2024-05-14,
22190,4,97.0,13.6,82.9,437.8,344.56,93.24,345.13,2024-05-14,
22191,5,97.0,13.5,83.0,437.79,344.55,93.24,345.22,2024-05-14,
22192,6,97.1,13.6,83.0,437.96,344.59,93.37,345.27,2024-05-14,
22193,7,96.7,13.6,82.7,437.84,344.55,93.29,345.28,2024-05-14,
22194,8,97.0,13.5,83.0,437.85,344.61,93.24,345.25,2024-05-14,
22195,9,97.0,13.5,83.0,437.84,344.51,93.33,345.25,2024-05-14,
22196,10,97.1,13.5,83.1,437.89,344.74,93.15,345.33,2024-05-14,
22197,11,98.6,13.5,83.1,437.82,344.61,93.21,345.4,2024-05-14,
22198,12,98.8,13.7,83.1,437.86,344.57,93.29,345.29,2024-05-14,
22199,13,97.3,13.7,83.1,437.81,344.62,93.19,345.24,2024-05-14,
22200,14,97.2,13.6,83.1,437.87,344.56,93.31,345.18,2024-05-14,
22201,15,97.2,13.6,83.1,437.85,344.55,93.3,345.27,2024-05-14,
22202,16,97.2,13.6,83.1,437.87,344.64,93.23,345.17,2024-05-14,
22203,17,97.1,13.5,83.1,437.89,344.58,93.31,345.2,2024-05-14,
22204,18,97.2,13.5,83.2,437.89,344.68,93.21,345.27,2024-05-14,
22205,19,97.2,13.5,83.2,437.88,344.63,93.25,345.21,2024-05-14,
22206,20,97.3,13.6,83.1,437.9,344.61,93.29,345.2,2024-05-14,
22207,21,98.7,13.7,83.0,437.91,344.58,93.33,345.27,2024-05-14,
22208,22,97.2,13.7,83.0,437.94,344.46,93.48,345.23,2024-05-14,
22209,23,101.9,13.6,87.8,437.9,344.98,92.92,345.32,2024-05-14,
22210,24,102.0,13.6,87.9,437.91,344.83,93.08,345.51,2024-05-14,
22211,,,,,,,,,2024-05-14,
22212,AVG,96.95,13.6,82.6,437.85,344.55,93.3,345.2,2024-05-14,
22213,,,,,,,,,2024-05-14,
22214,MAX,102.0,13.7,87.9,437.96,344.98,93.96,345.51,2024-05-14,
22215,MIN,87.0,13.5,72.8,437.61,343.71,92.92,344.4,2024-05-14,
22216,1,102.0,13.7,87.8,437.85,344.95,92.9,345.39,2024-05-15,
22217,2,102.0,13.7,87.8,437.84,344.85,92.99,345.68,2024-05-15,
22218,3,103.4,13.7,87.8,437.88,345.24,92.64,345.95,2024-05-15,
22219,4,102.3,13.6,88.1,437.91,344.94,92.97,345.69,2024-05-15,
22220,5,102.3,13.7,88.1,437.87,344.83,93.04,345.6,2024-05-15,
22221,6,102.5,13.7,88.4,437.79,345.21,92.58,345.82,2024-05-15,
22222,7,108.9,13.6,94.8,437.74,345.36,92.38,346.05,2024-05-15,
22223,8,108.9,13.6,94.8,437.77,345.45,92.32,346.16,2024-05-15,
22224,9,108.9,13.6,94.8,437.74,345.45,92.29,346.06,2024-05-15,
22225,10,108.9,13.6,94.8,437.76,345.51,92.25,346.24,2024-05-15,
22226,11,108.8,13.6,94.7,437.7,345.46,92.24,346.08,2024-05-15,
22227,12,108.7,13.5,94.7,437.69,345.55,92.14,346.01,2024-05-15,
22228,13,108.7,13.5,94.7,437.7,345.53,92.17,346.02,2024-05-15,
22229,14,109.0,13.6,94.9,437.74,345.56,92.18,345.91,2024-05-15,
22230,15,108.9,13.5,94.9,437.73,345.46,92.27,346.15,2024-05-15,
22231,16,111.5,13.5,96.0,437.59,345.77,91.82,346.48,2024-05-15,
22232,17,112.0,13.5,98.0,437.5,345.74,91.76,346.46,2024-05-15,
22233,18,112.1,13.6,98.0,437.49,345.57,91.92,346.59,2024-05-15,
22234,19,113.3,13.4,97.9,437.54,345.79,91.75,346.55,2024-05-15,
22235,20,113.3,13.5,97.8,437.45,346.12,91.33,346.2,2024-05-15,
22236,21,111.9,13.6,97.8,437.43,345.64,91.79,346.27,2024-05-15,
22237,22,111.8,13.6,97.8,437.46,345.65,91.81,346.28,2024-05-15,
22238,23,113.2,13.6,97.6,437.41,345.67,91.74,346.32,2024-05-15,
22239,24,113.3,13.6,97.7,437.39,345.94,91.45,346.63,2024-05-15,
22240,,,,,,,,,2024-05-15,
22241,AVG,108.61,13.59,94.15,437.67,345.47,92.2,346.11,2024-05-15,
22242,,,,,,,,,2024-05-15,
22243,MAX,113.3,13.7,98.0,437.91,346.12,93.04,346.63,2024-05-15,
22244,MIN,102.0,13.4,87.8,437.39,344.83,91.33,345.39,2024-05-15,
22245,1,111.9,13.5,97.9,437.42,345.49,91.93,346.45,2024-05-16,
22246,2,112.1,13.6,98.0,437.35,345.61,91.74,346.22,2024-05-16,
22247,3,112.1,13.5,98.1,437.28,345.62,91.66,346.38,2024-05-16,
22248,4,112.1,13.5,98.1,437.29,345.66,91.63,346.28,2024-05-16,
22249,5,112.0,13.6,98.0,437.2,345.63,91.57,346.31,2024-05-16,
22250,6,112.0,13.5,98.0,437.23,345.68,91.55,346.32,2024-05-16,
22251,7,113.5,13.5,98.0,437.3,345.6,91.7,346.32,2024-05-16,
22252,8,110.0,11.3,98.1,437.38,345.61,91.77,346.02,2024-05-16,
22253,9,108.9,10.2,98.3,437.41,345.57,91.84,345.97,2024-05-16,
22254,10,109.0,10.3,98.2,437.34,345.51,91.83,346.08,2024-05-16,
22255,11,109.0,10.3,98.2,437.35,345.59,91.76,345.9,2024-05-16,
22256,12,109.0,10.2,98.2,437.36,345.65,91.71,346.07,2024-05-16,
22257,13,110.4,10.3,98.2,437.33,345.86,91.47,346.05,2024-05-16,
22258,14,107.2,13.3,93.3,437.33,345.17,92.16,345.77,2024-05-16,
22259,15,107.3,13.3,92.0,437.34,345.3,92.04,345.85,2024-05-16,
22260,16,106.0,13.5,92.0,437.33,345.22,92.11,345.81,2024-05-16,
22261,17,105.9,13.4,92.0,437.35,345.28,92.07,345.87,2024-05-16,
22262,18,106.0,13.4,92.0,437.4,345.27,92.13,346.08,2024-05-16,
22263,19,106.1,13.5,92.1,437.55,345.13,92.42,345.85,2024-05-16,
22264,20,106.2,13.5,92.2,437.48,345.12,92.36,345.96,2024-05-16,
22265,21,106.3,13.5,92.3,437.59,345.25,92.34,345.95,2024-05-16,
22266,22,107.7,13.6,92.1,437.61,345.27,92.34,345.89,2024-05-16,
22267,23,107.3,13.5,91.8,437.61,345.31,92.3,345.92,2024-05-16,
22268,24,105.8,13.4,91.9,437.73,345.33,92.4,345.77,2024-05-16,
22269,,,,,,,,,2024-05-16,
22270,AVG,108.91,12.72,95.38,437.4,345.45,91.95,346.05,2024-05-16,
22271,,,,,,,,,2024-05-16,
22272,MAX,113.5,13.6,98.3,437.73,345.86,92.42,346.45,2024-05-16,
22273,MIN,105.8,10.2,91.8,437.2,345.12,91.47,345.77,2024-05-16,
22274,1,105.9,13.4,92.0,437.65,345.27,92.38,346.0,2024-05-17,
22275,2,106.0,13.4,92.1,437.69,345.24,92.45,345.81,2024-05-17,
22276,3,107.6,13.5,92.1,437.83,345.38,92.45,345.89,2024-05-17,
22277,4,106.2,13.5,92.2,437.82,345.3,92.52,345.86,2024-05-17,
22278,5,106.2,13.5,92.2,437.82,345.31,92.51,345.97,2024-05-17,
22279,6,108.4,13.6,94.3,437.81,345.63,92.18,346.02,2024-05-17,
22280,7,109.1,13.6,94.9,437.76,345.57,92.19,346.1,2024-05-17,
22281,8,108.6,13.6,94.4,437.84,345.34,92.5,345.89,2024-05-17,
22282,9,105.9,13.6,91.8,437.86,345.31,92.55,345.91,2024-05-17,
22283,10,106.0,13.6,91.9,437.88,345.17,92.71,345.94,2024-05-17,
22284,11,105.9,13.7,91.8,437.81,345.18,92.63,345.93,2024-05-17,
22285,12,105.9,13.6,91.8,437.89,345.19,92.7,345.87,2024-05-17,
22286,13,105.9,13.6,91.8,437.88,345.31,92.57,345.96,2024-05-17,
22287,14,107.4,13.5,91.8,437.91,345.23,92.68,345.94,2024-05-17,
22288,15,106.0,13.6,91.9,437.91,344.98,92.93,346.09,2024-05-17,
22289,16,106.0,13.6,91.9,437.88,345.25,92.63,346.02,2024-05-17,
22290,17,105.9,13.5,91.9,437.88,345.32,92.56,345.79,2024-05-17,
22291,18,105.8,13.5,91.8,437.87,345.25,92.62,345.83,2024-05-17,
22292,19,105.8,13.5,91.8,437.86,345.39,92.47,345.91,2024-05-17,
22293,20,106.0,13.5,92.0,437.88,345.05,92.83,346.0,2024-05-17,
22294,21,106.0,13.6,92.0,437.83,345.18,92.65,345.96,2024-05-17,
22295,22,106.1,13.7,91.9,437.84,345.2,92.64,346.08,2024-05-17,
22296,23,106.1,13.7,91.9,437.84,345.26,92.58,345.8,2024-05-17,
22297,24,106.2,13.6,92.0,437.93,345.1,92.83,345.91,2024-05-17,
22298,,,,,,,,,2024-05-17,
22299,AVG,106.45,13.56,92.26,437.84,345.27,92.57,345.94,2024-05-17,
22300,,,,,,,,,2024-05-17,
22301,MAX,109.1,13.7,94.9,437.93,345.63,92.93,346.1,2024-05-17,
22302,MIN,105.8,13.4,91.8,437.65,344.98,92.18,345.79,2024-05-17,
22303,1,112.0,13.6,97.9,437.85,345.67,92.18,346.28,2024-05-18,
22304,2,112.2,13.7,98.1,437.85,345.6,92.25,346.47,2024-05-18,
22305,3,112.2,13.6,98.0,437.81,345.71,92.1,346.33,2024-05-18,
22306,4,113.7,13.6,98.1,437.82,345.74,92.08,346.49,2024-05-18,
22307,5,112.2,13.6,98.1,437.84,345.82,92.02,346.2,2024-05-18,
22308,6,112.2,13.5,98.2,437.89,345.77,92.12,346.13,2024-05-18,
22309,7,112.4,13.6,98.3,437.95,345.64,92.31,346.41,2024-05-18,
22310,8,112.3,13.5,98.2,437.86,345.82,92.04,346.35,2024-05-18,
22311,9,112.2,13.5,98.2,437.89,345.72,92.17,346.29,2024-05-18,
22312,10,112.3,13.5,98.3,437.92,345.71,92.21,346.28,2024-05-18,
22313,11,112.3,13.5,98.3,437.94,345.81,92.13,346.37,2024-05-18,
22314,12,112.3,13.5,98.3,437.96,345.81,92.15,346.44,2024-05-18,
22315,13,113.9,13.5,98.3,438.07,345.94,92.13,346.51,2024-05-18,
22316,14,112.4,13.5,98.4,438.02,345.88,92.14,346.51,2024-05-18,
22317,15,112.4,13.5,98.3,437.98,345.83,92.15,346.3,2024-05-18,
22318,16,105.3,13.6,91.3,438.04,345.25,92.79,345.99,2024-05-18,
22319,17,104.6,13.6,90.5,438.04,345.25,92.79,345.89,2024-05-18,
22320,18,104.6,13.6,90.5,438.16,345.28,92.88,346.03,2024-05-18,
22321,19,97.3,13.5,83.3,437.1,344.03,93.07,344.77,2024-05-18,
22322,20,84.2,13.6,70.1,437.28,343.75,93.53,344.38,2024-05-18,
22323,21,100.3,13.6,86.1,437.68,345.07,92.61,345.71,2024-05-18,
22324,22,104.4,13.7,90.2,438.07,345.21,92.86,345.79,2024-05-18,
22325,23,107.9,13.5,92.4,437.99,346.11,91.88,346.48,2024-05-18,
22326,24,119.2,13.6,105.1,437.96,346.46,91.5,347.14,2024-05-18,
22327,,,,,,,,,2024-05-18,
22328,AVG,108.95,13.56,94.69,437.87,345.54,92.34,346.15,2024-05-18,
22329,,,,,,,,,2024-05-18,
22330,MAX,119.2,13.7,105.1,438.16,346.46,93.53,347.14,2024-05-18,
22331,MIN,84.2,13.5,70.1,437.1,343.75,91.5,344.38,2024-05-18,
22332,1,119.3,13.6,105.2,438.08,346.56,91.52,347.09,2024-05-19,
22333,2,119.2,13.7,105.0,437.76,346.54,91.22,347.13,2024-05-19,
22334,3,119.2,13.6,103.5,437.84,346.02,91.82,346.67,2024-05-19,
22335,4,109.0,13.6,94.9,437.63,345.88,91.75,346.38,2024-05-19,
22336,5,108.9,13.6,94.9,437.48,345.71,91.77,346.41,2024-05-19,
22337,6,110.5,13.6,94.9,437.47,345.76,91.71,346.29,2024-05-19,
22338,7,108.8,13.6,94.7,437.41,345.66,91.75,346.27,2024-05-19,
22339,8,108.0,13.6,93.9,437.47,345.48,91.99,346.11,2024-05-19,
22340,9,104.1,13.6,90.0,437.33,345.26,92.07,346.0,2024-05-19,
22341,10,96.2,13.5,82.1,437.3,344.34,92.96,344.99,2024-05-19,
22342,11,87.9,13.5,73.9,437.23,344.18,93.05,344.83,2024-05-19,
22343,12,87.9,13.5,73.8,437.11,344.06,93.05,344.85,2024-05-19,
22344,13,84.0,13.6,68.3,437.26,343.66,93.6,344.33,2024-05-19,
22345,14,81.9,13.5,67.9,437.29,343.61,93.68,344.24,2024-05-19,
22346,15,82.1,13.6,68.0,437.42,343.54,93.88,344.2,2024-05-19,
22347,16,82.3,13.6,68.1,437.5,343.66,93.84,344.33,2024-05-19,
22348,17,82.6,13.6,68.5,437.89,343.6,94.29,344.38,2024-05-19,
22349,18,84.8,13.6,69.2,437.91,343.96,93.95,344.7,2024-05-19,
22350,19,101.8,13.5,87.8,437.95,345.09,92.86,345.62,2024-05-19,
22351,20,102.1,13.5,88.1,438.02,345.13,92.89,345.84,2024-05-19,
22352,21,102.2,13.6,88.1,437.95,345.06,92.89,345.81,2024-05-19,
22353,22,102.3,13.6,88.1,437.95,345.07,92.88,345.69,2024-05-19,
22354,23,102.3,13.6,88.1,437.99,345.14,92.85,345.79,2024-05-19,
22355,24,102.2,13.5,88.2,438.03,345.12,92.91,345.85,2024-05-19,
22356,,,,,,,,,2024-05-19,
22357,AVG,99.57,13.58,85.22,437.64,344.92,92.72,345.57,2024-05-19,
22358,,,,,,,,,2024-05-19,
22359,MAX,119.3,13.7,105.2,438.08,346.56,94.29,347.13,2024-05-19,
22360,MIN,81.9,13.5,67.9,437.11,343.54,91.22,344.2,2024-05-19,
22361,1,102.2,13.5,88.2,438.05,345.02,93.03,345.83,2024-05-20,
22362,2,102.4,13.7,88.2,438.05,345.11,92.94,345.83,2024-05-20,
